#servo1,servo2,Delay,score
104,61,180,1
105,60,180,1
105,59,180,1
106,58,180,1
106,64,180,1
108,74,180,1
109,61,180,1
111,55,180,2
112,63,180,2
113,54,180,2
113,57,180,2
115,73,180,2
115,68,180,2
115,76,180,2
115,72,180,2
116,56,180,2
116,56,180,2
117,63,180,2
118,64,180,2
120,60,180,3
123,57,180,4
124,57,180,4
124,54,180,4
126,55,180,4
126,71,180,4
126,70,180,4
127,69,180,4
127,73,180,4
127,78,180,4
128,77,180,4
129,58,180,4
130,52,180,4
131,52,180,4
131,52,180,4
131,66,180,4
131,77,180,4
131,71,180,4
131,68,180,4
132,56,180,4
134,77,180,4
134,75,180,4
135,61,180,4
135,78,180,4
135,59,180,4
137,70,180,4
137,60,180,4
138,65,180,4
140,69,180,4
141,53,180,4
142,68,180,4
143,60,180,4
144,58,180,4
145,57,180,4
4,64,180,4
146,51,180,4
148,77,180,4
149,72,180,4
150,51,180,4
150,74,180,4
151,71,180,4
151,74,180,4
152,69,180,4
152,63,180,4
153,75,180,4
154,76,180,4
157,55,180,4
159,65,180,4
