#servo1,servo2,Delay,score
96,50,180,1
97,50,180,1
98,50,180,2
99,50,180,2
100,50,180,2
101,50,180,2
102,50,180,2
103,50,180,2
104,50,180,2
105,50,180,2
108,50,180,3
112,50,180,4
113,50,180,4
114,50,180,4
121,50,180,5
122,50,180,5
123,50,180,5
124,50,180,5
125,50,180,5
126,50,180,5
127,50,180,5
128,50,180,5
129,50,180,5
130,50,180,5
132,50,180,5
132,50,180,5
133,50,180,5
134,50,180,5
135,50,180,5
137,50,180,5
142,50,180,5
142,50,180,5
145,50,180,5
150,50,180,5
151,50,180,5
154,50,180,5
158,50,180,5
